version number,pool address,token0 contract address,token1 contract address,fee tier,amount of token0 in pool,amount of token1 in pool,token0 TVL,token1 TVL,token0/token1,token0 price,token1 price
2,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,56560948.05,32113.321,56536909.647078745,56629272.51782,1761.2923948289247,0.999575,1763.42
3,0xE0554a476A092703abdB3Ef35c80e0D76d32939F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,100,1.6278640495659942,0.0,1.6271722073449286,0.0,NA,0.999575,1763.42
3,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,500,259550.66801265228,97.97019341132831,259440.3589787469,172762.5984654046,2649.281980315458,0.999575,1763.42
3,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,536722.6471163776,609.0224532346377,536494.5399913532,1073962.374483025,881.2854834263308,0.999575,1763.42
3,0x7BeA39867e4169DBe237d55C8242a8f2fcDcc387,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,38190.03456406992,144.45427127943034,38173.80379938019,254733.55105957307,264.37456106919575,0.999575,1763.42
